-- ========================
-- 3.1
-- ========================
column_name	data_type	max_length	is_nullable	column_id
FA_TO_RIVER_PLACE_OB_BD_S2D_RT	1206	2	2026-04-22 12:14:00.583	2026-04-23 12:14:00.627
FA_TO_NORTON_HEALTHCARE_EPIC_OB_BD_S2D_RT	1207	2	2026-04-22 11:40:00.580	2026-04-23 11:40:00.587
FA_TO_UCH_SBO_OB_BD_S2P_RM_EMAIL	1208	2	2026-04-22 11:30:00.577	2026-04-23 11:30:00.623
FA_FROM_CG1_ARNOT_IB_EO_PULL	1211	2	2026-04-22 08:00:00.573	2026-04-23 08:00:00.590
FA_TO_LIFESPAN_R1_OB_BD_S2D_RM_EMAIL	1212	2	2026-04-22 11:25:00.577	2026-04-23 11:25:00.593
FA_FROM_VANDERBILT_NEWLIGHT_STATEMENT_REVSPRING_IB_EO_D2S_SP	1461	2	2026-04-22 16:00:00.730	2026-04-23 16:00:00.753
FA_TO_HSS_INSURANCE_FOLLOWUP_IB_EO_NB_TR	1467	2	2026-04-22 11:30:00.733	2026-04-23 11:30:00.767
FA_GET_FROM_LEXIS_NEXIS_OB_BD_S2D_SP2	1468	2	2026-04-22 06:35:00.740	2026-04-23 06:35:00.783
FA_HSS_IB_BD_D2S_NT	1455	2	2026-04-22 10:14:00.720	2026-04-23 10:14:00.807
FA_TO_SPINE_HOSPITAL_OF_LOUISIANA_OB_BD_S2P_RT	1430	2	2026-04-22 11:20:00.747	2026-04-23 11:20:00.780
FILE_REMOVE_VANDERBILT_NEWLIGHT	1451	2	2026-04-22 22:40:00.743	2026-04-23 22:40:00.767
FA_FROM_UNIVERSITY_HOSPITAL_OF_NEW_JERSEY_EPIC_IB_BD_PULL	1452	2	2026-04-22 07:30:00.707	2026-04-23 07:30:00.940
FA_FROM_STEWARD_MEDICAL_GROUP_IB_BD_PULL	1435	2	2026-04-22 11:00:00.707	2026-04-23 11:00:00.747
FA_TO_MEDICAL_CENTER_HEALTH_SYSTEM_OB_BD_S2D_INV_RPT	1448	2	2026-04-22 10:14:00.827	2026-04-23 10:14:00.837
FA_FROM_COLUMBIA_PHYSICIANS_EXPERIAN_IB_BD_MOVE_FILES	1487	2	2026-04-22 11:25:00.733	2026-04-23 11:25:00.750
FA_FROM_REVSPRING_ITS_CLIENTDATA_IB_D2S_RC	1491	2	2026-04-22 07:06:00.737	2026-04-23 07:06:00.767
FA_FROM_REVSPRING_ITS_FILTER_IB_D2S_RC	1492	2	2026-04-22 07:07:00.737	2026-04-23 07:07:00.797
FA_FROM_REVSPRING_ITS_FROSTARNETT_IB_D2S_RC	1493	2	2026-04-22 07:08:00.727	2026-04-23 07:08:00.757
FA_FROM_REVSPRING_NCOAUPDT_IB_D2S_RC	1494	2	2026-04-22 07:09:00.737	2026-04-23 07:09:00.780
FA_FROM_REVSPRING_ENOTICE_IB_D2S_RC	1495	2	2026-04-22 07:05:00.730	2026-04-23 07:05:00.810
FA_TO_MEMORIAL_HOSPITAL_OF_GULFPORT_OB_BD_S2D_RT	1497	2	2026-04-22 10:10:00.743	2026-04-23 10:10:00.767
FA_FROM_MCCURTAIN_IB_BD_SFTP_PULL	1477	2	2026-04-22 08:50:00.723	2026-04-23 08:50:00.743
FA_FROM_UHNJ_MED_METRIX_IB_BD_PULL	1484	2	2026-04-22 10:31:00.733	2026-04-23 10:31:00.763
